code,genus,species,subspecies,variety,location,county,state,country,supplyer,old_code,number,year,comment
,Sarracenia,x leucophylla,,,,,,,Michiels Ewoud,,,2020,leucophylla (MK L13) x open
,Sarracenia,x leucophylla,,,,,,,Michiels Ewoud,,,2020,leucophylla x open
,Sarracenia,x leucophylla,,,,,,,Michiels Ewoud,,,2020,leucophylla (SL61 C. Azais)(MK L111) x open (?)
SARXLE,Sarracenia,x leucophylla,,,,,,,eBay_westcornwallcarnivores,,,2020,leucophylla L39a Mobile Co. 100cm pitchers J Janssen x Troll
SARXLE,Sarracenia,x leucophyllax flava,,,,,,,eBay_westcornwallcarnivores,,,,x leucophylla L48BMK x Troll
,Sarracenia,x leucophylla x open,,,,,,,Isole di Brissago,,,2020,
,Sarracenia,x leucophylla x oreophila,,,,,,,Michiels Ewoud,,,2020,oreophila x S. leucophylla (MK L37)
,Sarracenia,x leucophylla x oreophila,,,,,,,Michiels Ewoud,,,2020,(leucophylla x oreophila) x open
,Sarracenia,x leucophylla x rubra,,,,,,,Stefano Tognon - ice00,X136-19,,2020,"leucophylla viridescens x (leuco X rubra gulf. luteoviridis), (L46 X H9, high chance of antho-free plantlets) [H32/2012 AltairW] x self"
,Sarracenia,x moorei,,,,,,,Stefano Tognon - ice00,X10-20,,2020,"Very large, Norman Parker MK H92 x self"
,Sarracenia,x moorei,,,,,,,Stefano Tognon - ice00,X145-19,,2020,"x moorei ‘Marston Clone’ x melanorhoda – 2006 seed -[H11]  x   leucophylla ""giant"""
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,"'Leah Wilkerson' x S. x moorei ""Elizabeth"""
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,x moorei (MK H42) x open
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""Elizabeth"" x S. 'Lynda Butt'"
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,x moorei “Black & White” x selfed
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,'Leah Wilkerson' x selfed
,Sarracenia,x moorei,,,,,,,Michiels Ewoud,,,2020,"flava var. ornata x S. x moorei ""Black & White"""
,Sarracenia,x morrei,,,,,,,eBay - westcornwallcarnivores,,,2020,flava Wakulla Red Lip F190 J Janssen x (Wilkerson Bus x WWK)
,Sarracenia,x morrei,,,,,,,eBay - westcornwallcarnivores,,,2020,leucophylla L39a Mobile Co. 100cm pitchers J Janssen x Troll
,Sarracenia,x morrei,,,,,,,eBay - westcornwallcarnivores,,,2020,leucophylla L48BMK x Troll
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,'Lynda Butt' x selfed
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"'Leah Wilkerson' x S. flava ""Goldie"""
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,'Leah Wilkerson' x S. leucophylla var. alba
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"flava ""Goldie"" x S. 'Leah Wilkerson'"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""WWK"" x S. leucophylla ""Bonbon"""
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"“Helmut’s delight” x S. ('Leah Wilkerson' x ""Helmut's Delight"")"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""Helen Mary"" x selfed"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""Elizabeth"" x selfed"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""WWK"" x S. ‘Lynda Butt’"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,"x moorei ""WWK"" x selfed"
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,‘Silvia Luise’ x S. 'Leah Wilkerson'
,Sarracenia,x morrei,,,,,,,Michiels Ewoud,,,2020,‘Silvia Luise’ x selfed
,Sarracenia,x oreophila x morrei,,,,,,,eBay - westcornwallcarnivores,,,2020,oreophila Heavy Vein x SX65a
SARXOR,Sarracenia,x oreophila x morrei,,,,,,,eBay_westcornwallcarnivores,,,2020,oreophila Heavy Vein x SX65a
SARALA011,Sarracenia ,alata,,rubrioperculata,NA,,,,sarracenia.fr,SAL-010   ,11,2022,"Purple throat Giant. Similar, in larger, to alata red throat. Gets huge."
SARFLA012,Sarracenia ,flava,,flava,"Green Swamp, NC, prob. Brunswick",Brunswick,North Carolina,United States,sarracenia.fr,SFA-001 C ,12,2022,NA
SARFLA015,Sarracenia ,flava,,maxima,"Green Swamp, NC",Brunswick,North Carolina,United States,sarracenia.fr,SFA-004 D ,15,2022,Real flava var.maxima. Green entirely. Very big plant.
SARFLA017,Sarracenia ,flava,,ornata,Prince George Co. VA,Prince George,Virginia,United States,sarracenia.fr,SFA-013 P ,17,2022,Gorgeous vertical veins. (MK F156)
SARFLA013,Sarracenia ,flava,,atropurpurea,NA,,,,sarracenia.fr,SFA-002   ,13,2022,All red. Flava entirely red with large and very high urns. Very large rounded lid.
SARFLA014,Sarracenia ,flava,,rugelii,NA,,,,sarracenia.fr,SFA-003 Q ,14,2022,"Giant robust clone. Rugelii very large, chunky and robust.Large opening.(F18 MK)"
SARFLA016,Sarracenia ,flava,,cuprea,NA,,,,sarracenia.fr,SFA-011 M ,16,2022,"Very large form - Ph.Sheridan. One of the largest clone cuprea, more than 90 cm.MK F153"
SARFLA018,Sarracenia ,flava,,ornata,NA,,,,sarracenia.fr,SFA-013 T ,18,2022,"flava ornata largest, most vigourous, Walton Co. X flava ornata 'Red Lip' Mike Wang"
SARLEU019,Sarracenia ,leucophylla,,leucophylla," Gas Station Site, Perdido, AL ",Baldwin,Alabama,United States,sarracenia.fr,SLE-001 R1,19,2022,Elegant leucophylla. Site now been drained for bulding!
SARLEU020,Sarracenia ,leucophylla,,leucophylla,"Ctenium Fields, Perdido, AL ",Baldwin,Alabama,United States,sarracenia.fr,SLE-001 X ,20,2022,Superb leucophylla very bright.
SARLEU021,Sarracenia ,leucophylla,,leucophylla,Deer Park,Washington,Alabama,United States,sarracenia.fr,SLE-016 B ,21,2022,"Large form, red / white pitchers. Very large leucophylla, well colorful."
,Sarracenia,minor,,,,Dorchester,South Carolina,United States,Pascal Klums,,,,
,Sarracenia,minor,,minor,,Ben Hill,Georgia,United States,,,,,
