Sarracenia,purpurea,venosa,burkei,United States,Florida,Calhoun,2_CK,"S. purpurea ssp. venosa var. burkei, Chipola Giant "
Sarracenia,purpurea,venosa,burkei,United States,Florida,Liberty,2_CK,"S. purpurea ssp. venosa var. burkei f. luteola, Liberty Co., Florida"
Sarracenia,purpurea,venosa,,United States,Georgia,Tattnall,2_CK,"S. purpurea ssp. venosa, Clone A x B cross pollinated, Tatnall, Georgia Co"
Sarracenia,purpurea,venosa,,United States,North Carolina,New Hannover,2_CK,"S. purpurea ssp. venosa, New Hannover"
Sarracenia,purpurea,venosa,,United States,North Carolina,Brunswick,2_CK,"S. purpurea ssp. venosa, ãAll Red"" North of Supply (Green Swamp), North of Supply N.C.  --> Brunswick"
Sarracenia,purpurea,venosa,,United States,North Carolina,Columbus,2_CK,"S. purpurea ssp. venosa, Near Old Dock, Columbus Co"
Sarracenia,purpurea,venosa,,United States,Virginia,Caroline,2_CK,"S. purpurea ssp. venosa, Reedy Creek, Caroline Co., Virg."
Sarracenia,alata,,atrorubra,United States,Alabama,Washington,2_sarraceniaFR,Sarracenia alata var.atrorubra (red tube)-Deer park-Al SAL-009 B
Sarracenia,alata,,alata,United States,Mississippi,Jackson,2_sarraceniaFR,Sarracenia alata var.alata- red/heavy vein-Jackson Co-Mississippi SAL-015
Sarracenia,alata,,alata f. viridescens,United States,Alabama,Washington,2_sarraceniaFR,Sarracenia alata var.alata f.viridescens Washington Co. AL SAL-022
Sarracenia,flava,,flava,United States,Virginia,Dinwidie,2_sarraceniaFR,Sarracenia flava var.flava - Shand's Bog SFA-001 L
Sarracenia,flava,,maxima,United States,North Carolina,Brunswick,2_sarraceniaFR,Sarracenia flava var.maxima - Green swamp NC SFA-004 D
Sarracenia,flava,,atropurpurea,United States,Florida,Santa Rosa,2_sarraceniaFR,Sarracenia flava var.atropurpurea (All red form) Blackwater State Forest SFA-031 C
Sarracenia,leucophylla,,leucophylla,United States,Florida,Santa Rosa,2_sarraceniaFR,Sarracenia leucophylla var.leucophylla - Gulf Breeze SLE-001 O
Sarracenia,leucophylla,,leucophylla,United States,Florida,Wakulla,2_sarraceniaFR,"Sarracenia leucophylla var.leucophylla - Hosford, Apalachicola NF, Wakulla Co - F SLE-001 S"
Sarracenia,leucophylla,,leucophylla,United States,Florida,,2_sarraceniaFR,Sarracenia leucophylla var.leucophylla Wilkerson Bog.FL
Sarracenia,leucophylla,,leucophylla,United States,Alabama,Covington,2_sarraceniaFR,Sarracenia leucophylla var.leucophylla-Conecuh NF (also Escambia Co. Could be possible). AL SLE-052
Sarracenia,oreophila,,,United States,Alabama,Cherokee,2_sarraceniaFR,Sarracenia oreophila var.oreophila- Cherokee Co. AL SOR-001 H
genus,species,subspecies,variety,country,state,county,source,comment
